numid,full name,old scientific,genus,species,common,id notes,checked by,,,,,,,,,,,,,,,,,,
11,Nitre bush (Nitraria billardier),Nitraria billardier,Nitraria,billardier,Nitre bush,,AK,,,,,,,,,,,,,,,,,,
12,Rhagodia parabolica,Rhagodia parabolica,Rhagodia,parabolica,NA,,AK,,,,,,,,,,,,,,,,,,
13,Arnyerna preissii,Arnyerna preissii,Arnyerna,preissii,NA,,AK,,,,,,,,,,,,,,,,,,
13,Lysiana exocarp,Lysiana exocarp,Lysiana,exocarp,NA,,AK,,,,,,,,,,,,,,,,,,
14,Amyema quandang,Amyema quandang,Amyema,quandang,NA,,AK,,,,,,,,,,,,,,,,,,
15,Schinus terebinthifolius,Schinus terebinthifolius,Schinus,terebinthifolius,NA,,AK,,,,,,,,,,,,,,,,,,
16,Amelanchierå arborea,Amelanchierå arborea,Amelanchier ,arborea,NA,split genus and species ,AK,,,,,,,,,,,,,,,,,,
17,Ryparosa sp.,Ryparosa sp.,Ryparosa,sp.,NA,removed period after genus,AK,,,,,,,,,,,,,,,,,,
18,Murraya (Murraya paniculata),Murraya paniculata,Murraya,paniculata,Murraya,,AK,,,,,,,,,,,,,,,,,,
19,Panda oleosa,Panda oleosa,Panda,oleosa,NA,,AK,,,,,,,,,,,,,,,,,,
19,Balanites wilsoniana,Balanites wilsoniana,Balanites,wilsoniana,NA,,AK,,,,,,,,,,,,,,,,,,
19,Strychnos aculeata,Strychnos aculeata,Strychnos,aculeata,NA,,AK,,,,,,,,,,,,,,,,,,
19,and Parinari excels,and Parinari excels,Parinari,excels,NA,split genus and species and removed and,AK,,,,,,,,,,,,,,,,,,
20,Spergula arvensis,Spergula arvensis,Spergula,arvensis,NA,,AK,,,,,,,,,,,,,,,,,,
20,Hypochaeris glabra,Hypochaeris glabra,Hypochaeris,glabra,NA,,AK,,,,,,,,,,,,,,,,,,
20,Ornithopus sativus,Ornithopus sativus,Ornithopus,sativus,NA,,AK,,,,,,,,,,,,,,,,,,
20,Rumex bucephalophorus,Rumex bucephalophorus,Rumex,bucephalophorus,NA,,AK,,,,,,,,,,,,,,,,,,
20,Briza maxima,Briza maxima,Briza,maxima,NA,,AK,,,,,,,,,,,,,,,,,,
21,pond apple (Annona glabra),Annona glabra,Annona,glabra,pond apple,,AK,,,,,,,,,,,,,,,,,,
22,Aceratium doggrellii,Aceratium doggrellii,Aceratium,doggrellii,NA,,AK,,,,,,,,,,,,,,,,,,
22,Acmena divaricata,Acmena divaricata,Acmena,divaricata,NA,,AK,,,,,,,,,,,,,,,,,,
22,Apodytes brachystylis,Apodytes brachystylis,Apodytes,brachystylis,NA,,AK,,,,,,,,,,,,,,,,,,
