"","Genus","Species","Abbrev","Infraspecific","ID","Plant.Name.Index","TPL_version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific","Authority","New.ID","Typo","WFormat"
"39","Protium","sp.",NA,"","",FALSE,"1.1","","","Protium","","sp.","","","",FALSE,FALSE
"40","Randia","armata",NA,"","kew-176164",TRUE,"1.1","Accepted","Rubiaceae","Randia","","armata","","(Sw.) DC.","kew-176164",FALSE,FALSE
"41","Simaba","guianensis",NA,"","kew-2580348",TRUE,"1.1","Accepted","Simaroubaceae","Simaba","","guianensis","","Aubl.","kew-2580348",FALSE,FALSE
"42","Sorocea","duckei",NA,"","tro-21301838",TRUE,"1.1","Accepted","Moraceae","Sorocea","","duckei","","W.C. Burger","tro-21301838",FALSE,FALSE
"43","Symeria","paniculata",NA,"","",FALSE,"1.1","","","Symeria","","paniculata","","","",FALSE,FALSE
"44","Tabebuia","barbata",NA,"","kew-318699",TRUE,"1.1","Synonym","Bignoniaceae","Handroanthus","","barbatus","","(E.Mey.) Mattos","kew-317135",FALSE,FALSE
"45","Unonopsis","matthewsii",NA,"","tro-1600471",TRUE,"1.1","Synonym","Annonaceae","Unonopsis","","guatterioides","","(A.DC.) R.E.Fr.","kew-2447492",FALSE,FALSE
"46","Virola","surinamensis",NA,"","kew-2451940",TRUE,"1.1","Accepted","Myristicaceae","Virola","","surinamensis","","(Rol. ex Rottb.) Warb.","kew-2451940",FALSE,FALSE
"47","Elaeocarpaceae","elaeocarpaceae",NA,"","",FALSE,"1.1","","","Elaeocarpaceae","","elaeocarpaceae","","","",FALSE,FALSE
"48","Cucurbitaceae","cucurbitaceae",NA,"","",FALSE,"1.1","","","Cucurbitaceae","","cucurbitaceae","","","",FALSE,FALSE
"49","Lecythidaceae","lecythidaceae",NA,"","",FALSE,"1.1","","","Lecythidaceae","","lecythidaceae","","","",FALSE,FALSE
"50","Heracleum","lanatum",NA,"","tro-1700134",TRUE,"1.1","Accepted","Apiaceae","Heracleum","","lanatum","","Michx.","tro-1700134",FALSE,FALSE
"51","Securinega","virosa",NA,"","kew-190368",TRUE,"1.1","Synonym","Phyllanthaceae","Flueggea","","virosa","","(Roxb. ex Willd.) Royle","kew-84621",FALSE,FALSE
"52","Azadirachta","indica",NA,"","kew-2667002",TRUE,"1.1","Accepted","Meliaceae","Azadirachta","","indica","","A.Juss.","kew-2667002",FALSE,FALSE
"53","Nauclea","latifolia",NA,"","kew-133213",TRUE,"1.1","Synonym","Rubiaceae","Sarcocephalus","","latifolius","","(Sm.) E.A.Bruce","kew-184881",FALSE,FALSE
"54","Diospyros","mespiliformis",NA,"","kew-2770144",TRUE,"1.1","Accepted","Ebenaceae","Diospyros","","mespiliformis","","Hochst. ex A.DC.","kew-2770144",FALSE,FALSE
"55","Acacia","cyclops",NA,"","ild-387",TRUE,"1.1","Accepted","Leguminosae","Acacia","","cyclops","","G.Don","ild-387",FALSE,FALSE
"56","Nitraria","billardier",NA,"","kew-2382391",TRUE,"1.1","Unresolved","Nitrariaceae","Nitraria","","billardierei","","DC.","kew-2382391",TRUE,FALSE
"57","Rhagodia","parabolica",NA,"","tro-7201758",TRUE,"1.1","Accepted","Amaranthaceae","Rhagodia","","parabolica","","R. Br.","tro-7201758",FALSE,FALSE
"58","Arnyerna","preissii",NA,"","",FALSE,"1.1","","","Arnyerna","","preissii","","","",FALSE,FALSE
"59","Lysiana","exocarp",NA,"","kew-2354011",TRUE,"1.1","Unresolved","Loranthaceae","Lysiana","","exocarpi","","Tiegh.","kew-2354011",TRUE,FALSE
"60","Amyema","quandang",NA,"","kew-2635323",TRUE,"1.1","Accepted","Loranthaceae","Amyema","","quandang","","(Lindl.) Tiegh.","kew-2635323",FALSE,FALSE
"61","Schinus","terebinthifolius",NA,"","",FALSE,"1.1","","","Schinus","","terebinthifolius","","","",FALSE,FALSE
"62","Amelanchier","arborea",NA,"","rjp-4788",TRUE,"1.1","Accepted","Rosaceae","Amelanchier","","arborea","","(F.Michx.) Fernald","rjp-4788",FALSE,FALSE
"63","Ryparosa","sp.",NA,"","",FALSE,"1.1","","","Ryparosa","","sp.","","","",FALSE,FALSE
"64","Murraya","paniculata",NA,"","kew-2510469",TRUE,"1.1","Accepted","Rutaceae","Murraya","","paniculata","","(L.) Jack","kew-2510469",FALSE,FALSE
"65","Panda","oleosa",NA,"","kew-146837",TRUE,"1.1","Accepted","Pandaceae","Panda","","oleosa","","Pierre","kew-146837",FALSE,FALSE
"66","Balanites","wilsoniana",NA,"","kew-19487",TRUE,"1.1","Accepted","Zygophyllaceae","Balanites","","wilsoniana","","Dawe & Sprague","kew-19487",FALSE,FALSE
"67","Strychnos","aculeata",NA,"","kew-2598055",TRUE,"1.1","Accepted","Loganiaceae","Strychnos","","aculeata","","Soler.","kew-2598055",FALSE,FALSE
"68","Parinari","excels",NA,"","kew-355551",TRUE,"1.1","Accepted","Chrysobalanaceae","Parinari","","excelsa","","Sabine","kew-355551",TRUE,FALSE
"69","Spergula","arvensis",NA,"","kew-2487413",TRUE,"1.1","Accepted","Caryophyllaceae","Spergula","","arvensis","","L.","kew-2487413",FALSE,FALSE
"70","Hypochaeris","glabra",NA,"","gcc-105693",TRUE,"1.1","Accepted","Compositae","Hypochaeris","","glabra","","L.","gcc-105693",FALSE,FALSE
"71","Ornithopus","sativus",NA,"","ild-5208",TRUE,"1.1","Accepted","Leguminosae","Ornithopus","","sativus","","Brot.","ild-5208",FALSE,FALSE
"72","Rumex","bucephalophorus",NA,"","kew-2424356",TRUE,"1.1","Accepted","Polygonaceae","Rumex","","bucephalophorus","","L.","kew-2424356",FALSE,FALSE
"73","Briza","maxima",NA,"","kew-400234",TRUE,"1.1","Accepted","Poaceae","Briza","","maxima","","L.","kew-400234",FALSE,FALSE
"74","Annona","glabra",NA,"","kew-2640872",TRUE,"1.1","Accepted","Annonaceae","Annona","","glabra","","L.","kew-2640872",FALSE,FALSE
"75","Aceratium","doggrellii",NA,"","kew-2616710",TRUE,"1.1","Accepted","Elaeocarpaceae","Aceratium","","doggrellii","","C.T.White","kew-2616710",FALSE,FALSE
